word,tf,df,tfidf
technology,798,403,1179.0735837353434
application,726,354,1166.809389789875
service,600,260,1149.4744500890265
communication,650,350,1052.0504973422899
case,413,146,1029.5535586551498
design,567,302,1001.3477212683832
datum,431,175,996.3368415206086
model,461,220,960.1914688481216
base,619,375,959.1691938647731
architecture,479,240,956.0042262966969
device,436,204,941.0416408713844
user,431,202,934.4962187017239
channel,379,155,922.1249131487257
provide,549,331,919.2203491769765
vol,183,12,913.4565288417906
support,406,188,909.452349843586
include,442,229,902.8956669034721
information,365,153,892.8025778165864
require,381,179,872.1419851981202
performance,454,264,862.8375682199854
antenna,298,102,849.7468712281309
algorithm,388,200,845.1241456709571
research,378,194,834.8561759540182
scheme,370,200,805.9173554078715
propose,538,401,797.5908931752468
control,291,114,797.4197144358983
approach,369,204,796.4320309209653
scenario,377,215,793.8995510946635
requirement,382,224,788.7636577959867
solution,377,218,788.6754490273057
enable,365,207,782.4700595829657
technique,382,230,778.6661535959512
environment,318,155,773.7090300298015
challenge,382,235,770.450783201543
achieve,372,228,761.5311518219208
method,348,199,759.7423096409157
resource,284,122,758.9761795463043
time,356,213,753.004156701795
sci-china-inf-sci,111,2,752.9490972670395
security,285,127,750.2013089910145
develop,344,200,749.2853250278589
signal,274,128,719.097140124935
work,330,200,718.7911548232368
future,324,193,717.2654302919225
level,259,111,716.6380245815569
transmission,303,166,716.4388316206308
capability,279,136,715.3050812243711
study,347,225,714.9490766989414
sense,230,80,711.7225216927054
spectrum,275,140,697.0782386025152
intelligent,263,129,688.1815738989873
uav,209,66,686.9448865797333
make,297,176,684.8785506793487
problem,297,184,671.6763771958111
increase,290,177,667.0935680911222
result,325,227,666.7447681968133
function,238,109,662.8596307464733
development,285,173,662.106524199846
edge,195,61,656.2917108131659
process,251,132,651.0112851029612
access,226,100,648.9142961097339
framework,269,161,644.27329635227
key,251,137,641.6793552892809
ris,184,55,638.3216120513839
wireless-communication,280,181,637.8330979714623
wireless-network,275,175,635.7137619911075
expect,244,131,634.7111141429119
introduce,295,206,633.8358826504257
vision,256,149,632.9666752559223
thz,212,91,628.7099294251757
present,326,263,620.807781769482
infrastructure,217,103,616.6583162667365
area,213,102,607.369407958362
potential,267,182,606.7483403212584
distribute,207,95,604.9772663396164
paper,327,285,596.4425066927483
node,191,78,595.874838904594
target,194,82,595.5321079765325
feature,231,136,592.2418414438341
deployment,228,132,591.3568645556779
analysis,227,131,590.4894381575451
link,221,125,585.2430602934145
operation,205,104,580.5767038146192
concept,227,138,578.672643993521
addition,217,123,578.1505015967529
frequency,215,122,574.5770373325895
improve,245,170,573.4651163078427
online,148,37,572.1020613409128
multiple,219,133,566.3609923943311
lead,205,112,565.3845695231063
apply,215,128,564.255055207522
wireless,210,121,562.9431854691045
energy,195,99,561.8637435507164
important,209,121,560.2625036335373
protocol,169,66,555.4721810142341
platform,178,78,555.3179126964278
ieee,129,24,554.4959930552589
discuss,260,211,552.3997043988381
due,254,201,551.9845381686266
industry,185,90,550.6826015042235
high,206,122,550.5249753047136
integration,201,115,549.0395908129317
demand,213,135,547.6650893805264
ghz,179,83,547.316087432748
figure,122,20,546.6502931284095
current,210,132,544.6707963012823
ecosystem,157,55,544.6548537612352
capacity,200,117,542.8596892732298
radio,185,94,542.6378557953717
networks,250,206,537.1490530935811
management,174,81,536.2720414095152
component,173,81,533.1900181830237
optimize,192,110,532.9904669513259
human,151,52,532.3095280499542
power,189,106,531.6632912527974
evolution,190,108,530.9248192675402
page,100,9,527.9247803827686
reduce,187,105,527.8097497981935
sensor,152,55,527.309157781578
term,209,143,525.3481999389356
artificial-intelligence,206,138,525.1390513773803
address,205,137,524.080748343835
efficiency,194,120,521.6622438460807
issue,188,111,520.1851298120954
january,94,7,519.8728498182077
vehicle,172,86,519.8055146045883
receiver,169,82,518.7882796290412
computing,154,61,518.3021716165515
optimization,189,116,514.6247339208752
digital,158,68,514.6004188060722
context,177,97,513.6117682709124
show,218,169,511.5530592405013
investigate,213,160,511.4765945431067
code,129,34,509.56442949465895
noma,138,44,509.5350191198989
range,180,105,508.05216558114876
position,134,40,507.5374522246958
change,169,88,506.8539107698831
structure,186,117,504.85951102410377
university,112,20,501.84289205231045
traffic,165,85,500.58048557114216
processing,155,70,500.3364565627547
exist,191,129,499.78205556922654
realize,197,140,499.3615018352564
domain,160,78,499.16216871589023
integrate,189,126,498.9959996261487
enhance,182,114,498.7298557640326
layer,147,61,494.74298199761733
compare,207,162,494.49734150782484
wang,89,7,492.22003865766465
band,157,77,491.82871261170476
iot,170,98,491.55583342386666
communication-system,183,122,489.0585945668087
trend,161,85,488.4452010724478
efficient,180,118,487.0417962056833
follow,171,103,485.9381201917601
massive-mimo,137,51,485.6166045362224
focus,191,139,485.5217035743438
set,156,79,484.6958264767138
realtime,152,73,484.27396688235814
connectivity,175,111,484.21488147402493
implement,171,105,482.64955730209135
machine-learning,165,96,480.5004912998514
coverage,153,77,479.2980447744639
aspect,172,109,479.041413816779
communications,183,129,478.8487757548087
edge-intelligence,118,31,477.01325084809355
latency,170,107,476.61940293933986
measurement,152,77,476.16537781515365
optical,130,46,474.21802800772537
survey,161,93,473.96353496971454
define,155,83,473.93292487193264
satellite,141,62,472.25665745275273
perspective,176,121,471.8000030598209
world,167,105,471.3595091780658
utilize,181,132,469.45435300253376
smart,154,84,469.03095967737113
dynamic,155,86,468.4293881611116
trust,126,43,468.1243054492632
detection,141,64,467.78009099039696
interference,149,77,466.767376937223
benefit,167,108,466.6549727246275
era,173,120,465.1936504400617
strategy,158,93,465.1319163056826
intelligence,153,85,464.1746320750591
cost,157,92,463.88535724603383
blockchain,144,71,462.786120593653
number,170,117,461.43073588224536
communication-network,160,99,461.0164049646904
secure,153,87,460.61633216392624
ieee-trans,81,6,460.4617458668039
digital-twin,112,29,460.22777373187233
emerge,180,140,456.2693925398281
material,128,50,456.24952009417717
space,148,81,456.13943752073703
learn,137,64,454.50973379918
perform,163,110,452.4866985055527
bandwidth,165,114,452.14519890695266
identify,156,98,451.07476478896
gain,159,104,450.3009556415827
beam,128,53,448.7910998543083
hardware,127,52,447.7040401479747
analyze,184,155,447.6806966210172
part,149,89,445.18756570333306
mechanism,139,72,444.7730704385512
society,132,62,442.11261548768346
cloud,111,33,441.77609498641414
impact,152,97,441.06773320439936
give,154,102,439.1309334534636
form,143,82,438.97469814765026
complexity,144,84,438.5744038541652
traditional,145,86,438.20813731200764
delay,142,82,435.9049450137506
mobile,141,81,434.56527493529677
offer,155,109,431.69429733488806
paradigm,150,100,430.69532927637204
standard,150,100,430.69532927637204
physical-layer,131,66,430.57311072700986
order,160,120,430.2369021410975
characteristic,145,91,430.01386682382304
local,108,33,429.83620052732186
global,129,64,427.96901941674616
generation,162,126,427.7108568224132
rate,151,104,427.6443037854024
slice,114,42,426.2235149683812
exploit,152,107,426.1538190987039
networking,136,77,426.0427064661901
channel-estimation,122,54,425.473576821155
mobility,127,62,425.36592550708934
specific,130,67,425.3313690304821
parameter,150,104,424.8122223033799
obtain,156,116,424.76962164897634
task,128,64,424.6514301189419
large,139,84,423.34612594256225
finally,173,154,422.0369217237978
section,99,25,421.5020590732748
radar,96,22,421.00127306933655
field,145,97,420.7554033857757
combine,139,86,420.0753868025452
energy-efficiency,141,90,419.7094422275433
interaction,119,52,419.50221084731487
direction,143,94,419.4443966418279
explore,152,114,416.5216377809503
deploy,143,96,416.4337591265379
learning,129,70,416.40905094577647
limit,130,72,415.97481407922055
public,101,29,415.0268316689206
waveform,105,34,414.76174493751313
physical,122,59,414.67006234549865
serve,134,80,414.6557300296631
implementation,145,102,413.46743734254693
generate,133,79,413.23426231668554
effect,137,87,412.4473039637771
distribution,131,76,412.0918143549622
urllc,110,42,411.2683039168591
create,130,76,408.9460753140846
channel-model,114,49,408.65033746807376
low,132,80,408.4668385366831
mode,110,44,406.15110219702086
resource-allocation,129,77,404.11403775101854
edge-computing,113,50,402.7827794581408
bring,144,108,402.3851261817147
role,135,91,400.35773807735245
accuracy,125,72,399.9757827684813
share,119,62,398.57122153813884
ensure,124,71,398.51027051120116
interface,105,40,397.6972573402467
group,109,46,397.61357732955435
location,110,49,394.3117291358607
advance,123,72,393.57617024418556
drive,127,80,392.994609804233
leverage,131,88,392.8867592358265
review,136,99,391.8639442199869
flexible,118,64,391.4755371408996
opportunity,118,64,391.4755371408996
main,130,87,391.37335412621184
article,147,124,390.4600498871537
massive,129,87,388.3627898637025
demonstrate,149,131,387.5899836364503
state,112,56,386.52551732802067
envision,146,127,384.3136530269758
property,114,61,383.6782309369277
joint,118,69,382.5991734348642
mobile-communication,129,91,382.5640608294701
systems,128,89,382.443009463266
base-station,120,73,382.3215528018617
cell,106,48,382.1587652471375
conventional,130,94,381.3130878562072
type,126,86,380.7877606987101
measure,117,69,379.3568075582976
image,95,33,378.0966578712554
terahertz,124,84,377.6612922077534
project,104,47,377.1377770632001
related,117,71,376.01372298234304
irs,93,31,375.9511214311246
reliability,121,79,375.9499679723229
associate,115,68,374.5509377385968
guarantee,120,78,374.3716265369177
build,121,81,372.92481040546744
3gpp,101,44,372.92055747181007
cellular-network,120,79,372.84294344362604
white-paper,89,27,372.0765608492023
kpi,83,20,371.90142893162295
complex,115,71,369.5861379740979
critical,118,78,368.132099427969
employ,118,78,368.132099427969
deliver,97,40,367.39651392384695
hybrid,110,63,366.667142024961
advantage,129,104,365.3385111809067
internet,110,64,364.9348227584657
fully,104,53,364.6427686316255
connect,119,83,363.85818103070955
technical,107,59,363.6860382866259
array,103,52,363.0985522459952
meet,127,102,362.14044512071354
localization,90,32,360.96628305277613
optimal,116,79,360.4148453288385
call,120,88,359.8962680022838
move,104,56,358.9165518045906
phase,106,60,358.5055488078313
market,94,39,358.4136090932203
knowledge,110,68,358.26611435865783
paper-propose,141,140,357.4110241561987
essential,113,75,356.96522224191824
higher,115,80,355.8612608463527
internet-thing,116,83,354.6852857106077
module,92,38,353.1775323722518
simulation,123,101,351.94627931168543
modulation,103,58,351.85102517360104
rely,109,70,351.84950816348555
experience,99,51,350.9200280955184
signal-processing,95,44,350.7668609883362
sustainability,79,21,350.1240455317981
functionality,91,38,349.33864615081427
mmwave,91,38,349.33864615081427
aim,119,94,349.04813426837427
convergence,102,58,348.43499580298356
open,104,62,348.3311515963566
start,117,90,348.26953716753593
computation,101,57,346.7755324462649
end,116,89,346.5889773260848
datum-rate,119,96,346.5427785738322
source,98,52,345.4724089330829
map,84,29,345.17083029890426
modeling,100,56,345.1120690428756
instance,80,24,343.8734840652768
operate,106,69,343.69078291606445
loss,102,61,343.2910487330406
point,114,87,343.20432592606267
prediction,90,39,343.1619661530833
transceiver,98,54,341.77385679076383
enabler,99,56,341.66094835244684
robot,83,29,341.0616537477268
